 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,utilization,
      11,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     144,      24,     128,     128,     128,     128,  367.94,367939.99,312555.10,345289.99, 7100.00,15550.00,345239.99,2304.00,384.00,  3.62,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.41,    2.47,    0.00,       1,   18.05,
      12,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      48,      24,     128,     128,     128,     128,   40.75,40746.00,16932.80,29832.67, 7000.00, 3913.33,29782.67,768.00,384.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.79,    0.39,    0.00,    0.00,       2,    0.32,
      13,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      24,     144,     128,     128,     128,     128,  374.14,374144.66,306741.60,356154.66, 8600.00, 9390.00,356104.66,384.00,2304.00,  4.25,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    2.75,    2.41,    0.00,    2.36,       1,   18.42,
      14,TIDL_ConvolutionLayer,       3,       3,     144,       2,       2,       0,       0,       0,       1,         1,     144,     144,     128,     128,      64,      64,  367.19,367189.99,122143.58,329639.99, 3600.00,33950.00,329589.99,2304.00,576.00,  0.88,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.16,    2.36,    0.00,       2,    1.79,
      15,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     144,      32,      64,      64,      64,      64,   91.91,91912.84,78039.50,78089.50, 7100.00, 6723.33,20610.00,576.00,128.00,  4.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.62,    0.15,    0.00,    0.00,       1,   39.26,
      16,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      32,     192,      64,      64,      64,      64,  112.90,112902.51,91491.40,91541.40, 7100.00,14261.11, 1032.22,128.00,768.00,  7.12,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.13,    0.86,    0.00,    0.00,       1,   41.09,
      17,TIDL_ConvolutionLayer,       3,       3,     192,       1,       1,       0,       0,       0,       1,         1,     192,     192,      64,      64,      64,      64,   73.33,73330.44,40969.26,41211.56, 3600.00,28518.89,41161.56,768.00,768.00,  1.12,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.79,    0.21,    0.00,    0.00,       2,   12.25,
      18,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     192,      32,      64,      64,      64,      64,  107.92,107918.93,94045.60,94095.60, 7100.00, 6723.33,29440.67,768.00,128.00,  6.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.84,    0.15,    0.00,    0.00,       1,   40.57,
      19,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      64,      32,      64,      64,      64,      64,   18.83,18834.89, 5962.80, 9059.33, 7000.00, 2775.56, 9009.33,256.00,128.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.26,    0.13,    0.00,    0.00,       2,    0.27,
      20,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      32,     192,      64,      64,      64,      64,  112.90,112902.51,91491.40,91541.40, 7100.00,14261.11, 1032.22,128.00,768.00,  7.12,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.13,    0.86,    0.00,    0.00,       1,   41.09,
      21,TIDL_ConvolutionLayer,       3,       3,     192,       1,       1,       0,       0,       0,       1,         1,     192,     192,      64,      64,      64,      64,   73.33,73330.44,40969.26,41211.56, 3600.00,28518.89,41161.56,768.00,768.00,  1.12,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.79,    0.21,    0.00,    0.00,       2,   12.25,
